Inception3   line 1 cols 1-10 is T_Identifier 
,            line 30 cols 45-45 is ',' 
1            line 30 cols 47-47 is T_IntConstant (value = 1)
)            line 30 cols 48-48 is ')' 
,            line 30 cols 49-49 is ',' 
stride       line 30 cols 51-56 is T_stride 
=            line 30 cols 57-57 is '=' 
(            line 30 cols 58-58 is '(' 
1            line 30 cols 59-59 is T_IntConstant (value = 1)
,            line 30 cols 60-60 is ',' 
1            line 30 cols 62-62 is T_IntConstant (value = 1)
)            line 30 cols 63-63 is ')' 
,            line 30 cols 64-64 is ',' 
bias         line 30 cols 66-69 is T_bias 
=            line 30 cols 70-70 is '=' 
False        line 30 cols 71-75 is T_BoolConstant (value = false)
)            line 30 cols 76-76 is ')' 
(            line 31 cols 7-7 is '(' 
bn           line 31 cols 8-9 is T_Identifier 
)            line 31 cols 10-10 is ')' 
:            line 31 cols 11-11 is ':' 
BatchNorm2d  line 31 cols 13-23 is T_BatchNorm2d 
(            line 31 cols 24-24 is '(' 
48           line 31 cols 25-26 is T_IntConstant (value = 48)
,            line 31 cols 27-27 is ',' 
eps          line 31 cols 29-31 is T_eps 
=            line 31 cols 32-32 is '=' 
0.001        line 31 cols 33-37 is T_DoubleConstant (value = 0.001)
,            line 31 cols 38-38 is ',' 
momentum     line 31 cols 40-47 is T_momentum 
=            line 31 cols 48-48 is '=' 
0.1          line 31 cols 49-51 is T_DoubleConstant (value = 0.1)
,            line 31 cols 52-52 is ',' 
affine       line 31 cols 54-59 is T_Identifier 
=            line 31 cols 60-60 is '=' 
True         line 31 cols 61-64 is T_BoolConstant (value = true)
,            line 31 cols 65-65 is ',' 
track_running_stats line 31 cols 67-85 is T_track_running_stats 
=            line 31 cols 86-86 is '=' 
True         line 31 cols 87-90 is T_BoolConstant (value = true)
)            line 31 cols 91-91 is ')' 
)            line 32 cols 5-5 is ')' 
(            line 33 cols 5-5 is '(' 
branch5x5_2  line 33 cols 6-16 is T_Identifier 
)            line 33 cols 17-17 is ')' 
:            line 33 cols 18-18 is ':' 
BasicConv2d  line 33 cols 20-30 is T_Identifier 
(            line 33 cols 31-31 is '(' 
(            line 34 cols 7-7 is '(' 
conv         line 34 cols 8-11 is T_Identifier 
)            line 34 cols 12-12 is ')' 
:            line 34 cols 13-13 is ':' 
Conv2d       line 34 cols 15-20 is T_Conv2d 
(            line 34 cols 21-21 is '(' 
48           line 34 cols 22-23 is T_IntConstant (value = 48)
,            line 34 cols 24-24 is ',' 
64           line 34 cols 26-27 is T_IntConstant (value = 64)
,            line 34 cols 28-28 is ',' 
kernel_size  line 34 cols 30-40 is T_kernel_size 
=            line 34 cols 41-41 is '=' 
(            line 34 cols 42-42 is '(' 
5            line 34 cols 43-43 is T_IntConstant (value = 5)
,            line 34 cols 44-44 is ',' 
5            line 34 cols 46-46 is T_IntConstant (value = 5)
)            line 34 cols 47-47 is ')' 
,            line 34 cols 48-48 is ',' 
stride       line 34 cols 50-55 is T_stride 
=            line 34 cols 56-56 is '=' 
(            line 34 cols 57-57 is '(' 
1            line 34 cols 58-58 is T_IntConstant (value = 1)
,            line 34 cols 59-59 is ',' 
