DenseNet     line 1 cols 1-8 is T_Identifier 
)            line 30 cols 82-82 is ')' 
,            line 30 cols 83-83 is ',' 
bias         line 30 cols 85-88 is T_bias 
=            line 30 cols 89-89 is '=' 
False        line 30 cols 90-94 is T_BoolConstant (value = false)
)            line 30 cols 95-95 is ')' 
)            line 31 cols 7-7 is ')' 
(            line 32 cols 7-7 is '(' 
denselayer4  line 32 cols 8-18 is T_Identifier 
)            line 32 cols 19-19 is ')' 
:            line 32 cols 20-20 is ':' 
_DenseLayer  line 32 cols 22-32 is T_Identifier 
(            line 32 cols 33-33 is '(' 
(            line 33 cols 9-9 is '(' 
norm1        line 33 cols 10-14 is T_Identifier 
)            line 33 cols 15-15 is ')' 
:            line 33 cols 16-16 is ':' 
BatchNorm2d  line 33 cols 18-28 is T_BatchNorm2d 
(            line 33 cols 29-29 is '(' 
160          line 33 cols 30-32 is T_IntConstant (value = 160)
,            line 33 cols 33-33 is ',' 
eps          line 33 cols 35-37 is T_eps 
=            line 33 cols 38-38 is '=' 
1e-05        line 33 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 33 cols 44-44 is ',' 
momentum     line 33 cols 46-53 is T_momentum 
=            line 33 cols 54-54 is '=' 
0.1          line 33 cols 55-57 is T_DoubleConstant (value = 0.1)
,            line 33 cols 58-58 is ',' 
affine       line 33 cols 60-65 is T_Identifier 
=            line 33 cols 66-66 is '=' 
True         line 33 cols 67-70 is T_BoolConstant (value = true)
,            line 33 cols 71-71 is ',' 
track_running_stats line 33 cols 73-91 is T_track_running_stats 
=            line 33 cols 92-92 is '=' 
True         line 33 cols 93-96 is T_BoolConstant (value = true)
)            line 33 cols 97-97 is ')' 
(            line 34 cols 9-9 is '(' 
relu1        line 34 cols 10-14 is T_Identifier 
)            line 34 cols 15-15 is ')' 
:            line 34 cols 16-16 is ':' 
ReLU         line 34 cols 18-21 is T_ReLU 
(            line 34 cols 22-22 is '(' 
inplace      line 34 cols 23-29 is T_inplace 
=            line 34 cols 30-30 is '=' 
True         line 34 cols 31-34 is T_BoolConstant (value = true)
)            line 34 cols 35-35 is ')' 
(            line 35 cols 9-9 is '(' 
conv1        line 35 cols 10-14 is T_Identifier 
)            line 35 cols 15-15 is ')' 
:            line 35 cols 16-16 is ':' 
Conv2d       line 35 cols 18-23 is T_Conv2d 
(            line 35 cols 24-24 is '(' 
160          line 35 cols 25-27 is T_IntConstant (value = 160)
,            line 35 cols 28-28 is ',' 
128          line 35 cols 30-32 is T_IntConstant (value = 128)
,            line 35 cols 33-33 is ',' 
kernel_size  line 35 cols 35-45 is T_kernel_size 
=            line 35 cols 46-46 is '=' 
(            line 35 cols 47-47 is '(' 
1            line 35 cols 48-48 is T_IntConstant (value = 1)
,            line 35 cols 49-49 is ',' 
1            line 35 cols 51-51 is T_IntConstant (value = 1)
)            line 35 cols 52-52 is ')' 
,            line 35 cols 53-53 is ',' 
stride       line 35 cols 55-60 is T_stride 
=            line 35 cols 61-61 is '=' 
(            line 35 cols 62-62 is '(' 
1            line 35 cols 63-63 is T_IntConstant (value = 1)
,            line 35 cols 64-64 is ',' 
1            line 35 cols 66-66 is T_IntConstant (value = 1)
)            line 35 cols 67-67 is ')' 
,            line 35 cols 68-68 is ',' 
bias         line 35 cols 70-73 is T_bias 
=            line 35 cols 74-74 is '=' 
False        line 35 cols 75-79 is T_BoolConstant (value = false)
)            line 35 cols 80-80 is ')' 
(            line 36 cols 9-9 is '(' 
norm2        line 36 cols 10-14 is T_Identifier 
)            line 36 cols 15-15 is ')' 
:            line 36 cols 16-16 is ':' 
BatchNorm2d  line 36 cols 18-28 is T_BatchNorm2d 
(            line 36 cols 29-29 is '(' 
128          line 36 cols 30-32 is T_IntConstant (value = 128)
,            line 36 cols 33-33 is ',' 
eps          line 36 cols 35-37 is T_eps 
=            line 36 cols 38-38 is '=' 
1e-05        line 36 cols 39-43 is T_DoubleConstant (value = 1e-05)
,            line 36 cols 44-44 is ',' 
momentum     line 36 cols 46-53 is T_momentum 
=            line 36 cols 54-54 is '=' 
